"Nombre","Estilo","Gravedad_Original","Gravedad_Final","Grado_Alcoholico","Amargor","Color"
"Milk Stout","Sweet Stout",1.064,1.02,5.87,33.77,39.95
"Marshmallow Stout","Imperial Stout",1.092,1.014,10.29,46.15,44.28
"Chocolate Coconut Stout","Sweet Stout",1.081,1.027,7.03,46.49,50
"Milky Vanilla Caramel Stout","Sweet Stout",1.05,1.019,4.08,44.11,35.25
"Russian Imperial Stout","Russian Imperial Stout",1.103,1.029,9.71,65.64,40
"Chocolate Peanut Butter Stout","Irish Stout",1.065,1.014,6.69,53.96,33.28
"Black Metal Stout V6","Russian Imperial Stout",1.113,1.028,11.15,54.92,38.93
"Conrad's Oatmeal Milk Stout","Sweet Stout",1.054,1.014,5.26,33.33,39.33
"Golden Stout","Tropical Stout",1.06,1.018,5.57,30.14,7.41
"Stout Snout","Dry Stout",1.047,1.011,4.74,32.3,25.33
"Imperial Ambush Stout","Russian Imperial Stout",1.112,1.027,11.22,76.93,40
"TBD PVP Coffee Stout","Foreign Extra Stout",1.077,1.019,7.54,59.77,35.88
"The Dude Abides White Russian Imperial Stout...","Russian Imperial Stout",1.114,1.029,11.25,85.4,40
"Russian Imperial Stout for Barrel 2","Russian Imperial Stout",1.089,1.022,8.74,105.17,40
"Guinness Stout Clone","Dry Stout",1.05,1.013,4.87,48.09,34.22
"Lord Vader Imperial Stout","Imperial Stout",1.096,1.02,10.06,71.69,50
"Heavy  Oil  - Braumeister 20L","Russian Imperial Stout",1.095,1.022,9.5,86.2,44.64
"Milk Stout","Sweet Stout",1.066,1.023,5.69,24.47,40
"Dark Chocolate Munich Stout","Foreign Extra Stout",1.069,1.016,6.99,47.9,40
"Imperial Stout  Grainfather","Foreign Extra Stout",1.074,1.02,7.47,67.91,39.37
"Chocolate Milk Stout","Sweet Stout",1.067,1.026,5.41,28.03,35.82
"Damn Skippy Peanut Butter Chocolate Stout...","Sweet Stout",1.049,1.014,4.65,51.29,34.93
"Thelonious Monk Tropical Stout","Tropical Stout",1.059,1.012,6.17,34.09,36.22
"Imperial Chocolate Milk Stout (50L)","Imperial Stout",1.082,1.012,9.16,35.75,38.79
"Grandma's stout","Sweet Stout",1.05,1.01,5.16,37.29,33.82
"Whiskey Throttle","Russian Imperial Stout",1.09,1.027,8.22,80.73,49.99
"Dry Stout 1 gal","Dry Stout",1.046,1.013,4.31,42.63,24.79
"Guinness Draught Clone","Dry Stout",1.047,1.012,4.6,56.34,39.89
"Bakke Brygg Foreign Extra Stout 20 l","Foreign Extra Stout",1.07,1.017,6.98,57.59,48.99
"Drunk Monk Belgian Imperial Stout","Russian Imperial Stout",1.108,1.02,11.58,73.26,40
"Let It All Out - Breakfast Stout","Foreign Extra Stout",1.075,1.021,7.13,77.33,40
"Milk Stout","Sweet Stout",1.055,1.016,5.04,28.29,40
"Irish Stout","Dry Stout",1.06,1.016,5.72,80.79,27.42
"American Imperial  Stout I - Beer","Imperial Stout",1.083,1.014,9.01,74.3,42.87
"Surly Darkness Clone","Russian Imperial Stout",1.095,1.024,9.27,127.06,30.32
"Cream stout","Sweet Stout",1.059,1.023,4.73,24.26,40
"RIS 2.0","Russian Imperial Stout",1.112,1.038,11.12,148.55,50
"N¯gne ÿ Imperial Stout Clone","Imperial Stout",1.095,1.023,9.49,63.37,50
"2014 Tiny Stout","Dry Stout",1.05,1.014,4.73,31.13,40
"Deception Cream Stout","Sweet Stout",1.057,1.013,5.81,36.95,40
"Vegemite Stout","Foreign Extra Stout",1.062,1.018,5.83,40.94,39.52
"Valhalla","Imperial Stout",1.175,1.052,16.2,172.77,50
"Guinn-ish.","Dry Stout",1.049,1.014,4.59,36.85,36.91
"General Tao's Chocolate Coffee Sweet Stout...","Sweet Stout",1.063,1.02,5.67,30.54,40
"Smooth Slug Assassin / Creme Brulee Oatmeal ...","Russian Imperial Stout",1.112,1.039,9.55,57.93,40
"Neb?tis","Russian Imperial Stout",1.1,1.02,10.56,87.58,50
"To Kate with love (kate the great clone)","Russian Imperial Stout",1.113,1.027,11.36,109.37,40
"Irish Stout (Brewer's Best)","Dry Stout",1.048,1.011,4.85,0,30.14
"The Empire Strikes Black","Sweet Stout",1.068,1.021,6.11,49.5,50
"Wake N Bake","Russian Imperial Stout",1.088,1.016,9.42,44.4,40
"Chocolate Orange Oatmeal Stout","Dry Stout",1.048,1.002,6.1,0,37.55
"Stout St. James Gate","Dry Stout",1.051,1.014,4.93,43.68,40
"Marubozo's RIS","Russian Imperial Stout",1.103,1.029,9.77,115.64,40
"'Scotchy-Scotch Scotch' Milk Stout","Sweet Stout",1.08,1.023,7.38,42.99,44.05
"Bakke Brygg Rye Porter 20 L","Imperial Stout",1.085,1.02,8.44,59.27,37.57
"Russian Imperial Stout","Imperial Stout",1.122,1.024,14.69,90.63,50
"Coffee Stout","Foreign Extra Stout",1.062,1.019,5.63,54.56,37.09
"Stone Imperial Russian Stout Clone","Russian Imperial Stout",1.1,1.029,9.29,110.54,40
"Galaxy Stout","Sweet Stout",1.064,1.015,6.36,46.3,35.11
"Stone Imperial Russian Stout Clone","Russian Imperial Stout",1.101,1.023,10.24,92.68,41.42
"Neb?tis (farmhouse)","Russian Imperial Stout",1.11,1.022,11.59,83.81,40
"Archie Michael - Milk Stout","Sweet Stout",1.054,1.018,4.74,35.01,35.76
"Russian Imperial Stout 3","Russian Imperial Stout",1.091,1.018,9.51,99.88,40
"Russian Imperial Stout for the Barrel","Russian Imperial Stout",1.103,1.021,10.8,130.26,40
"3 Gallon Imperial Stout","Russian Imperial Stout",1.092,1.025,8.73,70.06,50
"Barrel Aged Stout","Russian Imperial Stout",1.081,1.017,8.45,53.83,31.58
"Squidy","Foreign Extra Stout",1.069,1.013,7.37,59.44,40
"Tropical Stout Puma","Foreign Extra Stout",1.06,1.014,6.08,30.44,31.78
"I'll be your huckleberry Stout","Russian Imperial Stout",1.096,1.024,9.44,45.74,40
"Zanzibar Chocolate Espresso Imperial Stout...","Russian Imperial Stout",1.079,1.022,8.02,62.82,40
"Mother's Milf Project","Russian Imperial Stout",1.111,1.031,10.48,70.54,40
"1 gallon Stout","Dry Stout",1.057,1.01,6.29,75.02,50
"Espressanilla Porter","Sweet Stout",1.055,1.014,5.38,28.12,50
"S'mores stout","Sweet Stout",1.071,1.022,6.45,36.88,38.42
"Coffee Cream Stout","Sweet Stout",1.063,1.018,6,0,42.1
"Guiness Clone x2.5 (Brewed 2/6/16)","Irish Stout",1.071,1.016,7.14,54.94,50
"30 Below Coconut Milk Stout","Sweet Stout",1.064,1.018,6.12,34.63,40
"Black Lightning","Russian Imperial Stout",1.091,1.023,8.95,75.71,40
"Chocolate Cherry Stout","Foreign Extra Stout",1.076,1.014,8.15,45.22,39.26
"BYO Ten Fidy Clone","Russian Imperial Stout",1.099,1.018,10.59,84.64,50
"” Flannag·in Standard","Foreign Extra Stout",1.046,1.013,4.29,23.08,30.9
"S'morter","Sweet Stout",1.065,1.018,6.1,32.44,38.69
"Bakke Brygg Imperial Stout 25 l","Russian Imperial Stout",1.096,1.023,9.6,71.71,50
"Oreo Cream Stout","Sweet Stout",1.053,1.011,5.51,35.89,38.12
"Founders Brewing Co. - Breakfast Stout Clone...","Foreign Extra Stout",1.071,1.018,7.03,94.42,40
"2014 Bakounine Russian Stout","Russian Imperial Stout",1.095,1.013,10.72,72.4,35.86
"Ben's Double Chocolate Imperial Stout","Russian Imperial Stout",1.091,1.02,9.27,49.11,44.76
"New Mexican Hot Chocolate Stout","Sweet Stout",1.066,1.025,5.46,35.91,40
"Stanley Cup Stout","Sweet Stout",1.063,1.024,5.21,19.07,40
"Chocolate Milk Stout","Sweet Stout",1.057,1.014,5.57,0,45.18
"(2014-12-26) Milkbomb Stout","Sweet Stout",16.5335,7.13109,5.18,34.49,40
"Dry Stout","Irish Stout",1.043,1.007,4.73,44.74,39.37
"Penumbra - Imperial Oatmeal Coffee Stout","Russian Imperial Stout",1.088,1.017,9.4,0,42.6
"Coconut Donut Stout - #6","Sweet Stout",1.046,1.011,4.66,27.03,40
"Dark Chocolate Pomegranate","Sweet Stout",1.063,1.016,6.18,0,42.97
"Uncle Sam's Licorice Coffee Stout","Russian Imperial Stout",1.079,1.02,8.29,79.36,38.79
"Rasputin's Blood","Russian Imperial Stout",1.094,1.027,8.8,72.87,37.77
"Sweet Potato Stout","Sweet Stout",1.054,1.019,4.68,29.68,50
"Dry Stout - 20L","Dry Stout",1.042,1.01,4.15,38.98,32.22
"Dry Stout Belhaven Scottish Stout clone","Dry Stout",11.5372,2.69097,4.71,32.98,43.72
"Wes chocolate chipotle imperial stout","Russian Imperial Stout",1.077,1.012,8.58,66.56,40
"Jim's No-no-no-no-no-no Dibley Chocolate","Sweet Stout",1.052,1.015,4.9,30.9,32.37
"Pine Tar Stout","Foreign Extra Stout",1.079,1.021,7.54,38.48,40
"Woot stout","Russian Imperial Stout",1.098,1.024,9.63,87.92,40
"Session Stout","Dry Stout",1.038,1.008,3.97,0,35.77
"Milky Chance","Sweet Stout",1.059,1.024,4.7,25.55,40
"Imperial Coffee Stout","Russian Imperial Stout",1.084,1.019,8.5,32.15,40
"DRIS - Double Russian Imperial","Russian Imperial Stout",1.156,1.039,15.39,77.82,39.47
"Stout (Milk Stout) -  Awake the Wookie","Dry Stout",1.054,1.013,5.4,36.21,29.35
"Maple Imperial Breakfast Stout","Imperial Stout",1.105,1.023,11.99,62.85,50
"On Deck - Sherlock's Sweet Stout - v2 - For ...","Sweet Stout",1.1,1.032,8.99,34.36,45.95
"Cherry Stout","Sweet Stout",1.127,1.032,12.47,0,55.82
"Brown Dog Alberta Clipper Oatmeal Milk Stout...","Foreign Extra Stout",1.074,1.023,6.75,84.47,49.97
"Polecat Porter","Russian Imperial Stout",1.087,1.021,8.64,85.26,40
"Brinner stout","Russian Imperial Stout",1.088,1.022,8.64,55.55,40
"Murphy's Stout Clone","Irish Stout",1.055,1.014,5.4,24.32,50
"Dry Irish Stout","Dry Stout",1.047,1.013,4.55,38.47,36.42
"Diy Stout","Dry Stout",1.047,1.013,4.43,37.23,31.22
"Pravo suvo  baö skuplja usta","Dry Stout",1.044,1.01,4.49,31.45,40.24
"Blood Ogre","Russian Imperial Stout",1.166,1.025,18.52,74.4,50
"S'mores Stout","Imperial Stout",1.11,1.041,9.03,72.94,39.24
"Varvar Milk Stout","Foreign Extra Stout",20.4358,10.3414,5.71,34.05,32.73
"Imperial Irish Stout","Foreign Extra Stout",1.086,1.021,8.52,0,62.4
"Guinness Clone","Dry Stout",1.047,1.011,4.77,33.85,38.52
"Milky Way Cream Stout","Sweet Stout",1.059,1.022,4.82,28.82,38.73
"Sweet stout","Sweet Stout",1.073,1.032,5.33,37.45,40
"Irlandal? Stout(goffin)","Irish Extra Stout",1.058,1.01,6.25,39.3,35.24
"Chocolate Raspberry Stout","Foreign Extra Stout",1.067,1.02,6.05,36.19,40.35
"Oak  vanilla  coffee Imperial Stout","Russian Imperial Stout",1.115,1.036,10.37,69.36,40
"Unholy Stag Milk Stout","Sweet Stout",1.066,1.024,5.62,41.66,40
"Kris Kringle Stout","Foreign Extra Stout",1.067,1.018,6.41,46.32,36.4
"Guiness Clone","Irish Stout",1.04,1.01,3.95,45.09,36.51
"None More Black","Russian Imperial Stout",1.11,1.027,10.79,37.73,40
"Imperialist Stout","Imperial Stout",1.091,1.022,9.11,78.8,50
"Denny's BVIP (BIAB 3 gal)","Imperial Stout",1.085,1.021,8.42,55.99,45.1
"Guinness Draught Clone","Dry Stout",1.049,1.012,4.82,43.64,32.47
"Universe Hill Black IPA","Foreign Extra Stout",1.069,1.017,6.78,55.72,37.93
"09-Tropical FES (Tropical Wildcat-Szlakiem W...","Foreign Extra Stout",16.6358,3.93611,6.92,45.35,43.57
"Hennessy Irish Stout","Dry Stout",1.053,1.013,5.2,41.22,50
"Horchata Stout","Sweet Stout",1.058,1.019,5.02,17.32,43.33
"Nenna Milk Stout Vanilla","Sweet Stout",1.068,1.024,5.87,41.25,38.75
"RUSSIAN IMPERIAL STOUT AWARD WINNER","Russian Imperial Stout",1.086,1.017,9.04,97.69,50
"Cherry hazelnut stout","Sweet Stout",1.06,1.015,5.96,58.76,50
"Belgian Chocolate Stout","Sweet Stout",1.076,1.018,7.58,30.2,38.03
"Stout","Dry Stout",1.063,1.018,5.92,34.44,39.11
"Svarte Faen","Russian Imperial Stout",1.085,1.02,8.57,81.22,40
"Bed  Oh Dear [see link for citation]","Russian Imperial Stout",1.117,1.034,10.87,99.86,40
"XXX STOUT","Irish Extra Stout",1.095,1.037,7.65,47.8,49.13
"Ultra Silky Milk Stout","Sweet Stout",1.055,1.023,4.21,35.69,38.74
"Mt Choco Russian Imperial Stout","Russian Imperial Stout",1.11,1.02,11.79,0,80.4
"Double Chocolate Stout","Sweet Stout",1.059,1.02,5.17,31.2,36.56
"Oil Spill Spiced Rum Stout","Foreign Extra Stout",1.088,1.02,8.92,68.03,50
"Lazy Mans Guiness Clone","Dry Stout",1.043,1.008,4.59,42.25,34.76
"Milk Stout","Sweet Stout",1.056,1.013,5.5,0,28.2
"WTFiN Chocolate Stout","Sweet Stout",1.059,1.017,5.54,36.56,40
"Imperial Stout - N¯gne ÿ","Imperial Stout",1.09,1.021,9.07,103.1,50
"Mint Chocolate Creme Brulee Stout","Russian Imperial Stout",1.106,1.032,9.74,77.48,50
"Irish Extra Stout","Irish Extra Stout",1.057,1.011,6.13,46.83,47.63
"Bryan Buono's Recipe 2","Russian Imperial Stout",1.155,1.039,15.23,0,87.37
"Vanilla Milk Stout","Sweet Stout",1.038,1.011,3.6,21.91,40
"Stout","Imperial Stout",1.104,1.027,11.25,88.79,47.37
"Imperial milk stout","Russian Imperial Stout",1.118,1.038,12.13,55.22,50
"Stout≤","Russian Imperial Stout",1.068,1.019,6.42,45.86,40
"Beer Pudding","Russian Imperial Stout",1.092,1.021,9.28,46.39,40
"Bakke Brygg Kaffestout 25 L","Foreign Extra Stout",1.077,1.021,7.37,54.49,40
"Cactus Milk","Sweet Stout",1.063,1.022,5.41,30.48,40
"Chocolate Orange Stout","Sweet Stout",1.055,1.016,5.16,29.44,39.59
"Dark New One","Russian Imperial Stout",1.111,1.025,11.32,133.92,40
"Pelican Tsunami Stout Clone","Sweet Stout",1.053,1.013,5.21,40.99,31.46
"Russian Imperial Stout","Russian Imperial Stout",1.102,1.026,10.03,0,81.66
"Bakke Brygg Stout ekstrakt 25 l","Foreign Extra Stout",1.056,1.013,5.67,35.74,21.33
"Pica Cacao Sweet Stout","Sweet Stout",1.098,1.026,9.56,32.83,40
"Glasgow Midnight Stout","Foreign Extra Stout",1.081,1.023,7.65,58.91,40
"Texas Tea","Russian Imperial Stout",1.1,1.025,9.84,0,83.96
"COCO STOUT PILOT1","Sweet Stout",1.057,1.011,6.07,25.43,32.54
"Stout Dry","Irish Stout",1.072,1.021,6.77,44.4,45.23
"Catherine the Great","Russian Imperial Stout",1.083,1.018,8.49,60.26,46.73
"Dry Stout","Dry Stout",1.043,1.012,4.08,46.17,40
"Kate the Russian Imperial Stout","Russian Imperial Stout",1.107,1.022,11.19,91.99,40
"Broomers dark irish","Dry Stout",1.047,1.013,4.57,35.53,36.57
"Milk Stout","Sweet Stout",1.057,1.019,4.95,35.51,39.31
"Kjeller 5 JuleAle 2015 25 l","Foreign Extra Stout",1.08,1.019,7.96,39.06,33.84
"Black hole stout Speidel 50 L","Dry Stout",1.052,1.013,5.09,48.65,24.58
"RIS","Russian Imperial Stout",31.4072,8.54079,13.39,78.63,50
"SchuBrew RIS II","Imperial Stout",1.118,1.023,12.43,71.54,50
"Drunken Nightman","Russian Imperial Stout",1.098,1.029,9.01,64.51,50
"Molly ""Redbone"" Mallone","Dry Stout",1.05,1.013,4.97,44.59,40
"White Stout","Russian Imperial Stout",1.078,1.02,7.7,37.02,8.97
"Extra Black Stout","Foreign Extra Stout",17.5884,5.14375,6.83,9.04,24.29
"Old Rasputin Clone","Russian Imperial Stout",1.091,1.026,8.46,80.02,40
"#12 Gelfling Essence Stout","Sweet Stout",1.05,1.013,4.94,44.91,42.87
"Communestle","Russian Imperial Stout",1.106,1.016,11.84,120.2,37.76
"OLD WORLD RUSSIAN IMPERIAL STOUT CLONE Braum...","Imperial Stout",1.087,1.014,9.5,78.69,39.91
"Imperial Rum/Coconut Stout","Russian Imperial Stout",1.099,1.029,9.22,87.95,50
"Southern Tier Creme Brulee Clone","Sweet Stout",1.108,1.03,10.3,25.68,50
"Russian Roulette - Root Beer RIS","Russian Imperial Stout",1.095,1.027,8.98,60.43,40
"#28 Russian Imperial Stout","Russian Imperial Stout",1.119,1.03,11.73,78.05,50
"11: Russian Imperial Stout","Russian Imperial Stout",1.081,1.026,7.28,116.52,50
"Bounty Killer","Russian Imperial Stout",1.08,1.022,7.53,33.95,40
"03 Milk Stout","Sweet Stout",14.7079,5.60851,4.95,41.28,35.79
"Eternal Recurrence","Russian Imperial Stout",1.125,1.034,11.98,70.8,40
"Duroc Oyster Extra Stout","Foreign Extra Stout",1.058,1.012,6.25,30.84,42.03
"Chocolate Peanut butter Milk Stout","Sweet Stout",1.061,1.019,5.48,32.52,37.99
"Young's Double Chocolate Stout Clone","Sweet Stout",1.054,1.019,4.55,30.63,30.4
"RIS","Russian Imperial Stout",1.108,1.027,10.59,87.33,40
"Toy Soldier Milk Stout","Sweet Stout",1.075,1.019,7.39,42.56,40
"Ten Fidy clone","Russian Imperial Stout",24.9951,6.83925,10.31,97.77,50
"Fire Breathing Dragon","Russian Imperial Stout",1.087,1.02,9.4,95.3,35.41
"Founders KBS Clone","Imperial Stout",1.093,1.024,9.01,75.73,50
"Bresjnev Stout-ish","Foreign Extra Stout",1.073,1.018,7.17,54.14,42.84
"Big Brother Imperial Stout","Russian Imperial Stout",1.093,1.023,9.09,0,29.44
"Born in a Barn Milk Stout","Sweet Stout",1.069,1.025,5.79,23.66,34.92
"Grainfather Robust Porter","Foreign Extra Stout",1.073,1.019,7.54,32.33,48.11
"Dark Chocolate Stout","Sweet Stout",1.056,1.013,5.68,28.15,43.29
"Papa's milk","Sweet Stout",1.067,1.025,5.56,31.7,40
"Oaked Coffee Chocolate Stout","Sweet Stout",1.06,1.017,5.64,34.24,38.88
"Dawn Budgie Milk stout","Sweet Stout",1.068,1.025,5.63,42.63,40
"New Texian Brew's Oil Spill Spiced Rum Stout...","Foreign Extra Stout",1.08,1.02,7.86,0,78.27
"24  Cow's Milk Stout  11/23/13","Sweet Stout",1.04,1.018,2.86,31.54,50
"DZ Kill Imperial Stout","Russian Imperial Stout",1.092,1.026,8.67,20.91,38.12
"Founders Breakfast Stout Clone","Russian Imperial Stout",1.089,1.026,9.16,47.74,50
"Dad's Imperial Stout","Russian Imperial Stout",1.096,1.033,8.37,83.71,39.67
"Razzberry Stout","Sweet Stout",1.073,1.018,7.19,0,83.43
"2014 - 8/16 - Sherlock Stout  - Foreign Extr...","Foreign Extra Stout",1.078,1.019,7.67,59.17,34.08
"Barrister's Milk Chocolate Java Stout","Sweet Stout",1.09,1.028,8.13,27.95,40
"Ten Fidy","Imperial Stout",1.124,1.031,12.21,104.48,50
"Pumpkin Pie Sweet Stout","Sweet Stout",1.057,1.014,5.74,28.03,40
"Rye Stout","Russian Imperial Stout",1.07,1.014,7.31,97.31,40
"Diet Stout","Irish Stout",1.049,1.014,4.6,0,50
"Dry Stout","Irish Stout",1.043,1.01,4.33,33.42,33.04
"That's What I Told Her!10 gal Stout","Sweet Stout",1.056,1.019,4.88,59.7,38.73
"Pr‰ktig","Russian Imperial Stout",1.107,1.03,10.12,55.99,40
"Happy Cow Milk Stout","Sweet Stout",1.05,1.014,4.67,20.3,40
"Black crack stout","Russian Imperial Stout",1.105,1.021,11.03,65.46,22.13
"The Abyss","Russian Imperial Stout",1.1,1.02,10.48,71.93,40
"Old Hamje v1","Russian Imperial Stout",1.09,1.022,8.82,103.19,40
"Black Apricot Fudge Imperial Stout","Russian Imperial Stout",24.3372,9.69613,8.38,79.32,50
"Moo Moo Chocolate Milk Stout","Sweet Stout",1.059,1.019,5.23,41.97,34.9
"#80 Black Tokyo Horizon acc to Brewdog","Imperial Stout",1.16,1.03,17.08,74.55,50
"Chocolate Milk Stout","Sweet Stout",1.068,1.017,6.63,0,50.19
"001. Leah's Adult Chocolate Milk","Sweet Stout",1.05,1.02,3.95,30.68,34.52
"Imperial-Stout-20L","Russian Imperial Stout",1.105,1.026,10.38,52.17,38.41
"Chatzelenis Stout","Foreign Extra Stout",15.2071,4.74963,5.69,31.75,43.31
"Saison Stout","Dry Stout",1.046,1.009,4.88,41.63,50
"Simple Stout","Irish Stout",1.05,1.011,5.02,26.4,37.04
"RIS V3","Russian Imperial Stout",1.102,1.026,10.04,93.99,49.47
"Tony's Guinness Stout clone","Foreign Extra Stout",1.063,1.014,6.39,40.41,26.76
"Tropical Stout - 15 min Mash/Boil","Tropical Stout",1.066,1.018,6.24,21.23,33.37
"Chocolate Cranberry Stout","Dry Stout",1.079,1.026,6.88,78.29,31.11
"The Breakfast Stout","Russian Imperial Stout",1.093,1.027,8.63,60.12,40
"Bambi","Russian Imperial Stout",1.086,1.022,8.31,63.24,40
"Midnight Milk Stout","Sweet Stout",1.091,1.033,7.6,35.16,40
